Week commencing,Bolinda eaudio,Bolinda ebooks,Overdrive eaudio,Overdrive ebooks,Overdrive emags,Pressreader,RBdigital,eaudio,ebooks,emags_news
2019-04-01,228.0,56.0,270.0,819.0,0.0,1895,479.0,498.0,875.0,2374.0
2019-04-08,236.0,51.0,257.0,752.0,0.0,2072,284.0,493.0,803.0,2356.0
2019-04-15,188.0,45.0,226.0,699.0,0.0,1960,346.0,414.0,744.0,2306.0
2019-04-22,217.0,60.0,235.0,818.0,0.0,1839,206.0,452.0,878.0,2045.0
2019-04-29,212.0,55.0,241.0,734.0,0.0,1659,466.0,453.0,789.0,2125.0
2019-05-06,212.0,38.0,261.0,742.0,0.0,1538,296.0,473.0,780.0,1834.0
2019-05-13,190.0,66.0,231.0,711.0,0.0,1440,247.0,421.0,777.0,1687.0
2019-05-20,238.0,44.0,252.0,723.0,0.0,1824,315.0,490.0,767.0,2139.0
2019-05-27,190.0,37.0,244.0,808.0,0.0,1787,371.0,434.0,845.0,2158.0
2019-06-03,207.0,58.0,205.0,759.0,0.0,1882,318.0,412.0,817.0,2200.0
2019-06-10,253.0,48.0,288.0,828.0,0.0,1866,364.0,541.0,876.0,2230.0
2019-06-17,222.0,36.0,215.0,745.0,0.0,1942,306.0,437.0,781.0,2248.0
2019-06-24,203.0,54.0,257.0,862.0,0.0,1716,370.0,460.0,916.0,2086.0
2019-07-01,217.0,40.0,261.0,738.0,0.0,1935,359.0,478.0,778.0,2294.0
2019-07-08,220.0,40.0,241.0,778.0,0.0,1841,353.0,461.0,818.0,2194.0
2019-07-15,261.0,67.0,273.0,833.0,0.0,1927,299.0,534.0,900.0,2226.0
2019-07-22,229.0,62.0,260.0,862.0,0.0,2195,445.0,489.0,924.0,2640.0
2019-07-29,274.0,76.0,252.0,820.0,0.0,2063,352.0,526.0,896.0,2415.0
2019-08-05,316.0,59.0,287.0,945.0,0.0,2302,369.0,603.0,1004.0,2671.0
2019-08-12,274.0,76.0,308.0,873.0,0.0,2505,254.0,582.0,949.0,2759.0
2019-08-19,254.0,72.0,279.0,749.0,0.0,2670,361.0,533.0,821.0,3031.0
2019-08-26,308.0,58.0,312.0,872.0,0.0,2399,367.0,620.0,930.0,2766.0
2019-09-02,253.0,50.0,268.0,803.0,0.0,2452,284.0,521.0,853.0,2736.0
2019-09-09,260.0,66.0,265.0,752.0,0.0,2729,426.0,525.0,818.0,3155.0
2019-09-16,271.0,61.0,267.0,862.0,0.0,2733,500.0,538.0,923.0,3233.0
2019-09-23,279.0,56.0,276.0,828.0,0.0,1983,370.0,555.0,884.0,2353.0
2019-09-30,250.0,31.0,279.0,813.0,0.0,2364,530.0,529.0,844.0,2894.0
2019-10-07,266.0,81.0,259.0,823.0,0.0,2877,298.0,525.0,904.0,3175.0
2019-10-14,298.0,76.0,316.0,838.0,0.0,2784,345.0,614.0,914.0,3129.0
2019-10-21,297.0,55.0,325.0,815.0,0.0,2888,431.0,622.0,870.0,3319.0
2019-10-28,334.0,74.0,263.0,840.0,0.0,3103,487.0,597.0,914.0,3590.0
2019-11-04,274.0,64.0,265.0,790.0,0.0,3192,355.0,539.0,854.0,3547.0
2019-11-11,287.0,55.0,319.0,809.0,0.0,2761,413.0,606.0,864.0,3174.0
2019-11-18,281.0,64.0,302.0,849.0,0.0,3129,309.0,583.0,913.0,3438.0
2019-11-25,297.0,61.0,279.0,810.0,0.0,3060,441.0,576.0,871.0,3501.0
2019-12-02,282.0,62.0,270.0,793.0,0.0,3025,335.0,552.0,855.0,3360.0
2019-12-09,321.0,68.0,346.0,827.0,0.0,2828,446.0,667.0,895.0,3274.0
2019-12-16,345.0,55.0,325.0,964.0,0.0,2834,257.0,670.0,1019.0,3091.0
2019-12-23,306.0,57.0,302.0,904.0,0.0,2446,305.0,608.0,961.0,2751.0
2019-12-30,335.0,59.0,298.0,894.0,0.0,2956,428.0,633.0,953.0,3384.0
2020-01-06,326.0,64.0,328.0,746.0,0.0,3061,336.0,654.0,810.0,3397.0
2020-01-13,320.0,68.0,298.0,783.0,0.0,2836,314.0,618.0,851.0,3150.0
2020-01-20,355.0,50.0,312.0,873.0,0.0,3177,295.0,667.0,923.0,3472.0
2020-01-27,311.0,69.0,307.0,785.0,0.0,3313,406.0,618.0,854.0,3719.0
2020-02-03,341.0,55.0,289.0,844.0,0.0,2966,399.0,630.0,899.0,3365.0
2020-02-10,312.0,54.0,296.0,845.0,0.0,3292,324.0,608.0,899.0,3616.0
2020-02-17,345.0,56.0,352.0,845.0,0.0,3227,408.0,697.0,901.0,3635.0
2020-02-24,301.0,63.0,305.0,789.0,0.0,3244,549.0,606.0,852.0,3793.0
2020-03-02,340.0,53.0,260.0,659.0,0.0,3351,488.0,600.0,712.0,3839.0
2020-03-09,334.0,72.0,241.0,752.0,0.0,3697,354.0,575.0,824.0,4051.0
2020-03-16,388.0,75.0,298.0,888.0,0.0,3617,478.0,686.0,963.0,4095.0
2020-03-23,408.0,118.0,299.0,1029.0,0.0,4078,481.0,707.0,1147.0,4559.0
2020-03-30,607.0,114.0,385.0,1406.0,0.0,5233,737.0,992.0,1520.0,5970.0
2020-04-06,592.0,88.0,366.0,1609.0,0.0,5451,602.0,958.0,1697.0,6053.0
2020-04-13,609.0,115.0,387.0,1694.0,0.0,6233,738.0,996.0,1809.0,6971.0
2020-04-20,593.0,99.0,405.0,1736.0,0.0,5736,573.0,998.0,1835.0,6309.0
2020-04-27,636.0,86.0,367.0,1715.0,0.0,5826,803.0,1003.0,1801.0,6629.0
2020-05-04,642.0,104.0,430.0,1785.0,0.0,6000,526.0,1072.0,1889.0,6526.0
2020-05-11,673.0,96.0,418.0,1835.0,0.0,6100,609.0,1091.0,1931.0,6709.0
2020-05-18,680.0,87.0,369.0,1872.0,0.0,5989,466.0,1049.0,1959.0,6455.0
2020-05-25,668.0,102.0,419.0,1597.0,0.0,6244,621.0,1087.0,1699.0,6865.0
2020-06-01,741.0,74.0,333.0,1772.0,0.0,6167,695.0,1074.0,1846.0,6862.0
2020-06-08,680.0,88.0,337.0,1648.0,0.0,6280,634.0,1017.0,1736.0,6914.0
2020-06-15,617.0,96.0,367.0,1655.0,0.0,5902,450.0,984.0,1751.0,6352.0
2020-06-22,668.0,69.0,338.0,1490.0,0.0,5876,686.0,1006.0,1559.0,6562.0
2020-06-29,664.0,81.0,410.0,1717.0,0.0,6481,724.0,1074.0,1798.0,7205.0
2020-07-06,594.0,105.0,340.0,1694.0,0.0,5607,539.0,934.0,1799.0,6146.0
2020-07-13,657.0,87.0,375.0,1636.0,0.0,5614,515.0,1032.0,1723.0,6129.0
2020-07-20,735.0,99.0,366.0,1705.0,0.0,5303,720.0,1101.0,1804.0,6023.0
