description,title,id,created_time,views
Discover Very Short Introductions free with your Barnet library card at htt,,313367246994548,2021-05-11T07:55:26+0000,7
Our Wednesday Stories & Rhymes session is proving popular! Join us at 10.15,,1211900252603011,2021-05-11T07:00:50+0000,6
Grab a 100% complimentary copy of your favourite daily newspaper with Press,,892801954611420,2021-05-11T05:55:06+0000,9
"Welcome to Medici.tv, our free 24/7 one stop music streaming service with y",,770117110359142,2021-05-11T05:25:05+0000,8
It's #MentalHealthAwarenessWeek and this years theme is 'Nature' - explorin,,155493103249258,2021-05-10T14:10:05+0000,7
"It's time for our eighth LEGO club challenge! Wow, the weeks are really 'fl",,519935802366170,2021-05-08T07:55:22+0000,201
Clever you. You've got yourself some Barnet Libraries membership and now ha,,1999268780222430,2021-05-07T15:30:33+0000,34
We have a plethora of complimentary UK & international magazines & newspape,,456138662340991,2021-05-07T05:55:29+0000,35
Minibeast Stories and Rhymes  - A special event for under-fives on Thursday,,130499029109045,2021-05-06T08:01:03+0000,11
"On 30/06 from 7-8pm, Barnet libraries in association with Generation2Genera",,169437608421408,2021-05-04T11:10:03+0000,485
Come and join Ruth Pavey & Ruth Badley for this free online event. On 26/05,,2953943378215687,2021-05-04T09:55:33+0000,383
"If you missed our regular Toddler Rhyme Online session yesterday, you can a",,193665082576005,2021-05-04T07:30:16+0000,17
We have a plethora of complimentary magazines & newspapers for children’s &,,1201532290305620,2021-05-04T05:55:07+0000,118
"We're missing our Baby Bounce Online session today, so we really hope you'l",,302941701549715,2021-05-03T10:00:54+0000,14
Come and join Ruth Pavey & Ruth Badley for this free online event. On 26/05,,942703116507554,2021-04-30T10:56:54+0000,267
"We offer a wide range of early years services, from free Bookstart books to",,1380155775705063,2021-04-30T07:55:42+0000,16
Chill out this bank holiday weekend with these complimentary magazines from,,458013031930424,2021-04-30T05:55:43+0000,39
Songs & Rhymes are so important for early language! Join Tracey to discover,,1138107900030155,2021-04-28T08:30:17+0000,17
Chill out with this stunning addition to our online resources portfolio: Me,,1068053270687817,2021-04-27T11:10:03+0000,18
With driving lessons & tests now resumed recently. This is the perfect time,,957238731747984,2021-04-27T09:00:55+0000,148
We have a plethora of complimentary UK & worldwide magazines and newspapers,,213758586838620,2021-04-27T05:55:59+0000,35
To find out more about library services for Children & Families sign up to ,,318868256246598,2021-04-25T17:25:06+0000,27
Just wait until you 'Sea' what this week's Lego Club challenge is! 😉🌊 Get c,,524922535350346,2021-04-24T07:55:08+0000,135
For all you history & music buffs out there. Check out these complimentary ,,888179558694474,2021-04-24T05:55:24+0000,65
Get every week off to a great start with Toddler Rhyme Online at 10.15am on,,1311816629202460,2021-04-23T12:20:05+0000,12
Barnet libraries introduces Medici.tv our classical music streaming service,,375862277062985,2021-04-23T09:55:16+0000,39
"Sunny Spring weekend ahead, so embrace the great outdoors. Get inspired wit",,300260391490132,2021-04-23T06:57:37+0000,30
"Join us for songs and rhymes, cuddles and tickles, books and stories! Baby ",,518065422685946,2021-04-22T13:02:36+0000,12
"Dragons, mischief and mayhem abound in this wonderful third story in 'The B",,2952359931752689,2021-04-21T15:35:15+0000,36
Barnet libraries introduces Medici.tv our classical music streaming service,,273710047581921,2021-04-20T11:10:06+0000,32
Catch up on the latest news & celebrity gossip with complimentary magazines,,318728419646132,2021-04-20T06:10:03+0000,38
Barnet libraries online Lego club sets a new challenge every fortnight. We’,,2841342636125266,2021-04-19T13:58:33+0000,62
Our regular Wednesday Baby Bounce Online sessions are back this week. Book ,,787731875461732,2021-04-19T10:25:04+0000,56
Our under fives Stories & Rhymes Online session is back this week at the ne,,453606572385227,2021-04-18T17:01:10+0000,39
Our popular Toddler Rhyme Online sessions are back tomorrow at 10.15am. Ses,,1818708811636636,2021-04-18T09:00:42+0000,28
Our regular Monday Baby Bounce Online sessions are back tomorrow at 11.15am,,3874958949248596,2021-04-18T05:55:26+0000,29
Get complimentary UK & worldwide magazines & newspapers with Pressreader. T,,992485114617966,2021-04-16T05:55:12+0000,21
"Welcome to Medici.tv, your free 24/7 one stop music streaming service with ",,1815411121947497,2021-04-14T06:56:23+0000,47
We have a plethora of complimentary magazines & newspapers covering all typ,,914867192389124,2021-04-14T05:55:55+0000,47
From the London Mudlark comes a captivating and revelatory history of Londo,,289217612809216,2021-04-11T13:56:25+0000,26
We have complimentary magazines especially for adults covering many genres ,,780945385890248,2021-04-11T08:55:50+0000,38
We have complimentary newspapers & magazines especially for children’s & te,,756502205254929,2021-04-11T07:55:03+0000,31
Our #Borrowbox campaign titles mean that you don't have to wait to listen t,,786965318907071,2021-04-10T18:40:10+0000,17
It's time for Lego Club Challenge #6! Find out what this week's challenge i,,1055464811645631,2021-04-10T07:55:23+0000,294
Have you had a Lockdown baby? Join other new parents and our early years te,,198349145165845,2021-04-09T15:25:58+0000,28
