Week commencing,Page Views
2019-04-01,1791
2019-04-08,11435
2019-04-15,11388
2019-04-22,8341
2019-04-29,10452
2019-05-06,8925
2019-05-13,9265
2019-05-20,8964
2019-05-27,7401
2019-06-03,8905
2019-06-10,8173
2019-06-17,7984
2019-06-24,7747
2019-07-01,7142
2019-07-08,7286
2019-07-15,6811
2019-07-22,8728
2019-07-29,8804
2019-08-05,9145
2019-08-12,9609
2019-08-19,8792
2019-08-26,8359
2019-09-02,10406
2019-09-09,9823
2019-09-16,9547
2019-09-23,9897
2019-09-30,9870
2019-10-07,9290
2019-10-14,8930
2019-10-21,9186
2019-10-28,9441
2019-11-04,9411
2019-11-11,8847
2019-11-18,8953
2019-11-25,9552
2019-12-02,8565
2019-12-09,7995
2019-12-16,7612
2019-12-23,8344
2019-12-30,7620
2020-01-06,8925
2020-01-13,7820
2020-01-20,7225
2020-01-27,7579
2020-02-03,7694
2020-02-10,8411
2020-02-17,8498
2020-02-24,9356
2020-03-02,7141
2020-03-09,6936
2020-03-16,6294
2020-03-23,9450
2020-03-30,3368
2020-04-06,3438
2020-04-13,2015
2020-04-20,2007
2020-04-27,2062
2020-05-04,4076
2020-05-11,3593
2020-05-18,731
2020-05-25,3488
2020-06-01,4215
2020-06-08,4737
2020-06-15,5961
2020-06-22,7573
2020-06-29,7232
2020-07-06,9427
2020-07-13,8341
2020-07-20,8405
2020-07-27,8038
2020-08-03,1216
2020-08-10,6971
2020-08-17,7625
2020-08-24,7666
2020-08-31,7806
2020-09-07,7083
