,date,id,title,publishedAt,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,age,playListTitle
12716,2021-01-06,XkRHwuvY2wY,Barnet Libraries Recommend:  Black Flamingo by Dean Atta,2020-12-29 12:30:07+00:00,4,0,0,0,0.0,all,Barnet Libraries Recommend
12711,2021-01-06,pg-6uCxUGaM,Barnet Libraries Recommend: The Biscuit: the history of a very British indulgence by E M Collingham,2020-12-21 12:30:03+00:00,7,0,0,0,0.0,all,Barnet Libraries Recommend
12714,2021-01-06,5oZIGPNE720,Barnet Libraries Recommend: Jake Atlas and the Keys of the Apocalypse by Rob Lloyd Jones,2020-12-18 12:30:00+00:00,8,0,0,0,0.0,all,Barnet Libraries Recommend
12708,2021-01-06,LTOexn3KHks,Barnet Libraries Recommend: The Whales on the Bus by Katrina Charman and Nick Sharratt,2020-12-22 12:30:01+00:00,10,1,0,0,0.0,all,Barnet Libraries Recommend
12712,2021-01-06,MS8bvT1bNVs,Barnet Libraries Recommend: Failosophy by Elizabeth Day,2020-12-20 12:30:03+00:00,10,0,0,0,0.0,all,Barnet Libraries Recommend
12718,2021-01-06,vb6uIfuPOqc,Upcycling Christmas Baubles,2020-12-24 09:31:12+00:00,11,1,0,0,0.0,all,Barnet Libraries arts and crafts for all ages
12719,2021-01-06,elGGRwy2ddg,Barnet Libraries Recommend: The Snowflake by Benji Davies,2020-12-23 12:30:12+00:00,13,0,0,0,0.0,all,Barnet Libraries Recommend
12687,2021-01-06,p29Yh18nU4c,Potty Pinecones!,2020-11-26 17:39:09+00:00,14,1,0,0,0.0,child,Barnet libraries for children
12653,2021-01-06,y-BEL5seUAk,Silly Squad Crossword,2020-07-31 13:19:45+00:00,14,1,0,0,0.0,child,Barnet libraries for children
12713,2021-01-06,jJWDRZu7vWg,Barnet Libraries Recommend: MI9 A history of the Secret service for escape & evasion in World War 2,2020-12-19 12:30:11+00:00,14,0,0,0,0.0,all,Barnet Libraries Recommend
12717,2021-01-06,BYZLiKxKAS0,Barnet Libraries Recommend Dogger's Christmas by Shirley Hughes,2020-12-24 12:30:00+00:00,15,2,0,0,0.0,all,Barnet Libraries Recommend
12702,2021-01-06,0muS40S1o3c,Barnet Libraries Recommend: The Midnight Library by Mark Haig,2020-12-11 12:30:00+00:00,16,0,0,0,0.0,all,Barnet Libraries Recommend
12650,2021-01-06,rGDxS4Uk1V4,Find the Silly Squad,2020-07-28 07:50:31+00:00,16,1,0,0,0.0,child,Barnet libraries for children
12707,2021-01-06,6aWKQymGBJ8,Barnet Libraries Recommend :The Invisible life of Addie Larue by Victoria Schwab,2020-12-15 12:30:00+00:00,16,0,0,0,0.0,all,Barnet Libraries Recommend
12649,2021-01-06,zj7TO-X10HM,Silly Squad Book Reveal,2020-07-28 10:51:44+00:00,18,1,0,0,0.0,child,Barnet libraries for children
12700,2021-01-06,2ZbuPQzVMYI,Barnet Libraries Recommend: Oranges & Lemons by Christopher Fowler,2020-12-09 12:30:01+00:00,20,1,0,0,0.0,all,Barnet Libraries Recommend
12701,2021-01-06,MfN9u9Io2IY,Barnet Libraries Recommend: Piranesi by Susanna Clarke,2020-12-10 12:30:01+00:00,20,2,0,0,0.0,all,Barnet Libraries Recommend
12665,2021-01-06,A8AkRP8n2qQ,Barnet Libraries Book Quiz -  Round 17  Initial Impressions,2020-09-14 09:14:30+00:00,20,0,0,0,0.0,adult,Barnet Libraries Book Quiz
12674,2021-01-06,mMko7UYWL3k,Black Scientists and Inventors  - A quiz for Black History Month 2020,2020-10-22 07:51:19+00:00,20,0,0,0,0.0,adult,
12651,2021-01-06,6fO5M34OM4o,Silly Squad Maze Search,2020-07-28 12:46:59+00:00,22,2,0,0,0.0,child,Barnet libraries for children
12703,2021-01-06,0jyaEnmiFn0,Barnet Libraries Recommend: Clap When You Land by Elizabeth Acavedo,2020-12-13 12:30:01+00:00,22,1,0,0,0.0,all,Barnet Libraries Recommend
12705,2021-01-06,QFgcA22g848,Barnet Libraries Recommend:  Hamnet by Maggie O'Farrell,2020-12-14 12:30:01+00:00,22,0,0,0,0.0,all,Barnet Libraries Recommend
12704,2021-01-06,L5wHeAK4-0g,Barnet Libraries Recommend: Becoming by Michelle Obama,2020-12-12 12:30:02+00:00,24,0,0,0,1.0,all,Barnet Libraries Recommend
12697,2021-01-06,l90XZ7GG5U0,Barnet Libraries Recommend Escape from Mr  Lemoncellos's Library,2020-12-05 12:30:04+00:00,25,0,0,0,0.0,all,Barnet Libraries Recommend
12638,2021-01-06,sDrxGOvS04M,Round 8  - Graphic Novels,2020-07-17 11:33:14+00:00,28,2,0,0,0.0,adult,Barnet Libraries Book Quiz
12715,2021-01-06,fhNp5WpJNBk,Introduction to the micro:bit & emotions badge activity,2020-12-29 14:23:46+00:00,28,0,0,0,0.0,child,Barnet libraries for children
12642,2021-01-06,jStGOB6IGE0,Code Buster Quiz,2020-07-22 13:12:23+00:00,30,0,0,0,0.0,child,Barnet libraries for children
12699,2021-01-06,8Is0pyJGFgU,Barnet Libraries Recommend:  Return to Roar by Jenny McLachlan. Illustrated by Ben Mantle,2020-12-08 12:30:01+00:00,30,1,0,0,0.0,all,Barnet Libraries Recommend
12693,2021-01-06,WnPuveVH330,Barnet Libraries recommend - The Last Day by Andrew Hunter Murray,2020-12-03 12:30:03+00:00,33,0,0,0,0.0,all,Barnet Libraries Recommend
12652,2021-01-06,7gn4aVqGrKY,East Finchley Archer Drawing Competition entries,2020-07-31 12:06:33+00:00,34,0,0,0,0.0,adult,
12658,2021-01-06,EXx81jflhJk,Silly Surprise Cards,2020-08-21 13:29:41+00:00,35,2,0,0,0.0,child,Barnet libraries for children
12668,2021-01-06,2q8gXUV1R0M,Look Up Storytime  - celebrating Black History Month,2020-10-06 07:54:56+00:00,35,2,0,0,0.0,child,Barnet libraries for children
12628,2021-01-06,blFj6tr7eYs,Silly Squad Code Breaker,2020-07-02 07:35:20+00:00,36,3,0,0,0.0,child,Barnet libraries for children
12644,2021-01-06,Uj-SalCUqus,How to use the Scanner in Barnet Libraries,2020-07-24 07:43:57+00:00,36,0,0,0,0.0,adult,Helping you use Barnet Libraries computers
12696,2021-01-06,LZAPQbZiXtg,Barnet Libraries Recommend: The Bench by Saskia Sarginson,2020-12-06 12:30:01+00:00,36,1,0,0,0.0,all,Barnet Libraries Recommend
12706,2021-01-06,xp40vQc9064,Barnet Libraries Recommend: There's an Elf in your Book by Tom Fletcher & illustrated by Greg Abbott,2020-12-16 00:30:06+00:00,37,2,0,0,0.0,all,Barnet Libraries Recommend
12641,2021-01-06,qdyLDMR71R4,Under the Sea Art with Jayne,2020-07-22 13:34:58+00:00,39,1,0,0,0.0,child,Barnet libraries for children
12689,2021-01-06,NZlufq8w938,Barnet School Libraries Resources Service Open Day,2020-11-27 14:21:22+00:00,39,3,0,0,2.0,,
12657,2021-01-06,7LIqWExl43k,Barnet Libraries Book Quiz  - Round 14   Fictional Worlds,2020-08-19 15:43:51+00:00,42,2,0,0,0.0,adult,Barnet Libraries Book Quiz
12618,2021-01-06,SDWM_RewRoE,#In5words Book Reviews,2020-06-03 08:07:34+00:00,42,2,0,0,0.0,adult,
12694,2021-01-06,UnW7RIgj_QQ,Salt Dough Christmas Ornaments - Craft activity,2020-12-04 08:29:27+00:00,42,1,0,0,0.0,child,Barnet libraries for children
12599,2021-01-06,bm_ioU4b4fM,How to use your Barnet Libraries account online,2020-05-07 16:04:27+00:00,42,1,0,0,1.0,adult,
12692,2021-01-06,GiOTE7Kmuf8,Family Christmas Wreath Craft Activity,2020-12-03 07:46:14+00:00,44,1,0,0,0.0,child,Barnet libraries for children
12667,2021-01-06,4RPEiD-J9Kc,Barnet Libraries Book Quiz Round 18  -   One Word Book Titles,2020-09-25 18:00:15+00:00,45,2,0,0,0.0,adult,Barnet Libraries Book Quiz
12662,2021-01-06,Diruw1NLN34,Silly photo booth props,2020-08-24 07:23:42+00:00,46,2,0,0,0.0,child,Barnet libraries for children
12691,2021-01-06,AgTvekzKOrU,Barnet Libraries Recommend :  We're going on a Treasure Hunt,2020-12-02 12:30:01+00:00,50,1,0,0,0.0,all,Barnet Libraries Recommend
12690,2021-01-06,dBVj0s8Jn18,Barnet Libraries recommend.... American Spy,2020-11-27 12:22:27+00:00,50,0,0,0,0.0,all,Barnet Libraries Recommend
12680,2021-01-06,yuyoIerWmTU,Barnet Book Quiz Round 12 -  Biographies,2020-08-14 18:00:11+00:00,50,1,0,0,0.0,adult,Barnet Libraries Book Quiz
12656,2021-01-06,tDmSJhBy0vM,Barnet Libraries Book Quiz  - Round 13   What the Dickens?,2020-08-17 17:34:13+00:00,51,2,0,0,0.0,adult,Barnet Libraries Book Quiz
12660,2021-01-06,aYRZCb5Xu74,Barnet Libraries Book Quiz - Round 15   Lost Words,2020-08-24 13:51:01+00:00,51,2,0,0,0.0,adult,Barnet Libraries Book Quiz
12654,2021-01-06,WR3vHjceOUE,Barnet Libraries Book Quiz  Round 11 - Culturally Diverse Authors,2020-08-07 18:00:10+00:00,51,1,0,0,,adult,Barnet Libraries Book Quiz
12663,2021-01-06,KIvCmD5LxF4,Barnet Libraries Book Quiz - Round 16  Classic Books,2020-08-25 15:20:22+00:00,54,0,0,0,0.0,adult,Barnet Libraries Book Quiz
12645,2021-01-06,QJ9rUT5TN-g,How to print from a Library Computer,2020-07-24 07:43:21+00:00,55,0,0,0,0.0,adult,Helping you use Barnet Libraries computers
12686,2021-01-06,Tg-l3JGwDkg,Silly Squad Poetry Fun with Conrad Burdekin,2020-08-20 16:05:20+00:00,55,0,0,0,0.0,child,Barnet libraries for children
12684,2021-01-06,-hVZszP6EFc,Firework Craft activity,2020-11-01 08:00:13+00:00,56,0,0,0,0.0,child,Barnet libraries for children
12695,2021-01-06,HkrFug_cG5c,Barnet Libraries Recommend - The Foundling by Stacey Halls,2020-12-04 12:30:01+00:00,58,3,0,0,0.0,all,Barnet Libraries Recommend
12617,2021-01-06,LsZNjNwBaTI,Gallery of Recreated Bookcover Art,2020-06-01 07:33:23+00:00,58,1,0,0,0.0,adult,
12669,2021-01-06,iyC9sK8cqP8,Unicorn Marionette craft activity,2020-10-13 07:37:36+00:00,59,5,0,0,0.0,child,Barnet libraries for children
12629,2021-01-06,nHkc42hBxlQ,Silly Squad Odd one out,2020-07-02 07:22:59+00:00,60,2,0,0,0.0,child,Barnet libraries for children
12666,2021-01-06,R80Ap34b6oc,Barnet Libraries Select & Collect Service,2020-09-22 14:06:38+00:00,60,1,0,0,0.0,adult,
12659,2021-01-06,HzbdoURyv9U,Silly Spoons Craft Activity,2020-08-21 11:42:16+00:00,63,2,0,0,0.0,child,Barnet libraries for children
12639,2021-01-06,nOGvEYL1o8o,Barnet Libraries Book Quiz Round 9   London Links,2020-07-21 07:11:24+00:00,63,1,0,0,0.0,adult,Barnet Libraries Book Quiz
12600,2021-01-06,nxt7kT1plXg,Barnet Libraries Origami with Hennal Part 4 - Create a Transforming Star,2020-05-14 09:00:15+00:00,64,2,0,0,0.0,all,Barnet Libraries arts and crafts for all ages
12622,2021-01-06,1zLHM9nOUg8,Barnet Libraries Book Quiz - Round 5  Anagrams,2020-06-17 16:29:12+00:00,68,2,0,0,0.0,adult,Barnet Libraries Book Quiz
12635,2021-01-06,Qk0ctf7lPHU,Barnet Libraries Book Quiz Round 7 -  Opening Lines,2020-07-09 14:50:03+00:00,69,1,0,0,0.0,adult,Barnet Libraries Book Quiz
12632,2021-01-06,PTKcv0ccLfY,Owl puppet craft activity,2020-06-15 13:57:39+00:00,69,2,0,0,0.0,child,Barnet libraries for children
12673,2021-01-06,4IMN_tBIZO8,Halloween Storytime with Tracey the Witch from Barnet Libraries,2020-10-16 12:32:16+00:00,70,1,0,0,0.0,child,Barnet libraries for children
12670,2021-01-06,jv_Av7JZjuc,Pioneering Black Britons  - A specialist Quiz for Black History Month 2020,2020-10-14 08:01:39+00:00,71,1,0,0,0.0,adult,
12710,2021-01-06,k-BRFGhEwEo,Seasons Greetings from Barnet Libraries  - A Christmas Sing-a-long made by staff across the service.,2020-12-21 13:26:03+00:00,76,1,0,0,0.0,,
12640,2021-01-06,ikmzWf99qro,Iris Folding with Zdena,2020-07-21 11:54:41+00:00,80,2,0,0,0.0,all,Barnet Libraries arts and crafts for all ages
